iter	Passed	Remaining
0	9	1948
1	16	1780
2	25	1807
3	34	1794
4	42	1790
5	51	1777
6	59	1763
7	68	1761
8	76	1749
9	85	1737
10	92	1715
11	100	1687
12	106	1647
13	113	1615
14	119	1579
15	124	1545
16	130	1517
17	136	1483
18	141	1455
19	147	1429
20	153	1409
21	159	1388
22	164	1365
23	169	1344
24	176	1332
25	182	1316
26	188	1304
27	194	1289
28	200	1276
29	205	1260
30	211	1245
31	216	1230
32	221	1213
33	227	1203
34	232	1189
35	237	1175
36	243	1163
37	248	1153
38	254	1143
39	260	1132
40	265	1122
41	271	1110
42	277	1102
43	282	1093
44	288	1085
45	294	1076
46	300	1068
47	306	1058
48	311	1047
49	316	1038
50	322	1029
51	327	1020
52	332	1010
53	338	1002
54	344	994
55	349	986
56	354	977
57	361	971
58	366	962
59	371	953
60	377	946
61	382	938
62	388	932
63	394	925
64	400	919
65	406	911
66	411	903
67	417	896
68	423	889
69	429	883
70	435	876
71	441	870
72	447	864
73	453	857
74	458	850
75	464	844
76	471	838
77	477	832
78	483	826
79	490	820
80	496	814
81	502	809
82	508	802
83	515	798
84	521	791
85	527	785
86	533	778
87	538	771
88	544	764
89	549	757
90	555	750
91	561	744
92	567	738
93	572	731
94	578	724
95	584	718
96	590	712
97	596	705
98	601	699
99	607	693
100	615	688
101	621	682
102	626	675
103	632	668
104	637	662
105	643	655
106	649	649
107	656	643
108	662	637
109	668	631
110	673	625
111	679	618
112	684	611
113	689	605
114	695	598
115	701	592
116	707	586
117	712	579
118	718	573
119	723	566
120	729	560
121	735	554
122	740	548
123	746	541
124	752	535
125	758	529
126	763	523
127	769	516
128	774	510
129	780	504
130	785	497
131	791	491
132	797	485
133	803	479
134	809	473
135	814	467
136	819	460
137	825	454
138	830	448
139	835	441
140	841	435
141	847	429
142	852	423
143	858	417
144	863	410
145	868	404
146	874	398
147	879	392
148	885	386
149	890	379
150	895	373
151	901	367
152	906	361
153	911	355
154	917	349
155	922	343
156	928	337
157	934	331
158	939	324
159	944	318
160	949	312
161	955	306
162	961	300
163	966	294
164	972	288
165	977	282
166	983	276
167	988	270
168	994	264
169	999	258
170	1004	252
171	1010	246
172	1015	240
173	1021	234
174	1027	228
175	1032	222
176	1038	217
177	1043	211
178	1049	205
179	1055	199
180	1060	193
181	1066	187
182	1072	181
183	1077	175
184	1083	169
185	1089	163
186	1095	158
187	1100	152
188	1105	146
189	1111	140
190	1116	134
191	1122	128
192	1128	122
193	1133	116
194	1139	111
195	1144	105
196	1149	99
197	1155	93
198	1160	87
199	1166	81
200	1171	75
201	1177	69
202	1183	64
203	1189	58
204	1194	52
205	1199	46
206	1206	40
207	1212	34
208	1217	29
209	1223	23
210	1228	17
211	1234	11
212	1240	5
213	1245	0
