case,fpr,tpr_mean,tpr_std,auc_mean,auc_std,n_seeds
mixed_in,0.0,0.2208438111204247,0.02333989001042943,0.7853321650225626,0.006984545991167514,15
mixed_in,0.002,0.2208438111204247,0.02333989001042943,0.7853321650225626,0.006984545991167514,15
mixed_in,0.004,0.270969544565521,0.031091130052965852,0.7853321650225626,0.006984545991167514,15
mixed_in,0.006,0.31243364068175467,0.02138255511315436,0.7853321650225626,0.006984545991167514,15
mixed_in,0.008,0.33310980720871747,0.017391998805411032,0.7853321650225626,0.006984545991167514,15
mixed_in,0.01,0.34948309583682585,0.013392227836762277,0.7853321650225626,0.006984545991167514,15
mixed_in,0.012,0.3593741268510758,0.018054491651351697,0.7853321650225626,0.006984545991167514,15
mixed_in,0.014,0.3593741268510758,0.018054491651351697,0.7853321650225626,0.006984545991167514,15
mixed_in,0.016,0.3703269069572507,0.015066887821335955,0.7853321650225626,0.006984545991167514,15
mixed_in,0.018000000000000002,0.37971500419111487,0.014405083827493982,0.7853321650225626,0.006984545991167514,15
mixed_in,0.02,0.3864207879295893,0.014997711828864568,0.7853321650225626,0.006984545991167514,15
mixed_in,0.022,0.3913383626711371,0.014604870960398017,0.7853321650225626,0.006984545991167514,15
mixed_in,0.024,0.3967029896619167,0.013322091394270064,0.7853321650225626,0.006984545991167514,15
mixed_in,0.026000000000000002,0.3967029896619167,0.013322091394270064,0.7853321650225626,0.006984545991167514,15
mixed_in,0.028,0.4043587594300084,0.01642232609724521,0.7853321650225626,0.006984545991167514,15
mixed_in,0.03,0.40899692651578656,0.01592025495144118,0.7853321650225626,0.006984545991167514,15
mixed_in,0.032,0.41603799944118475,0.016467520193208737,0.7853321650225626,0.006984545991167514,15
mixed_in,0.034,0.4235820061469685,0.01928924905738274,0.7853321650225626,0.006984545991167514,15
mixed_in,0.036000000000000004,0.4277172394523611,0.017676945667297057,0.7853321650225626,0.006984545991167514,15
mixed_in,0.038,0.4277172394523611,0.017676945667297057,0.7853321650225626,0.006984545991167514,15
mixed_in,0.04,0.43369656328583406,0.015482714148779027,0.7853321650225626,0.006984545991167514,15
mixed_in,0.042,0.43833473037161214,0.01496790749843707,0.7853321650225626,0.006984545991167514,15
mixed_in,0.044,0.44185526683431126,0.014592036400276152,0.7853321650225626,0.006984545991167514,15
mixed_in,0.046,0.44509639564124065,0.014122668183630315,0.7853321650225626,0.006984545991167514,15
mixed_in,0.048,0.4507963118189438,0.013527024681383795,0.7853321650225626,0.006984545991167514,15
mixed_in,0.05,0.4507963118189438,0.013527024681383795,0.7853321650225626,0.006984545991167514,15
