job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
manual_20260505_095326,mixed,dtw,in_domain,0,,0.5534290271132376,0.08551541266158436,0.862876254180602,0.15560916767189384,0.3061951103726561,0.8698772047056873,0.7600250320449801
manual_20260506_003750,mixed,dtw,in_domain,1,,0.5074960127591707,0.07755225689185095,0.8561872909698997,0.14222222222222222,0.28463420057816324,0.826704209700285,0.524062100202894
manual_20260505_102332,mixed,dtw,in_domain,3,,0.529505582137161,0.08146510893590149,0.862876254180602,0.1488747836122331,0.2956681182672473,0.8551650704155928,0.6663915675979396
manual_20260505_102333,mixed,dtw,in_domain,7,,0.5240829346092504,0.08086169216359662,0.8662207357859532,0.1479154768703598,0.29438508751989084,0.8556955048621291,0.673624747415924
manual_20260505_105340,mixed,dtw,in_domain,13,,0.5470494417862839,0.08330600196785831,0.8494983277591973,0.15173237753882915,0.29917550058892817,0.8691260826435911,0.7605814795350154
manual_20260505_105340,mixed,dtw,in_domain,42,,0.2529505582137161,0.050256410256410255,0.8193979933110368,0.09470429068419019,0.20177894910228952,0.5784491261834652,0.0791600355020764
14897158,mixed,dtw,in_domain,99,,0.5006379585326953,0.06723716381418093,0.7357859531772575,0.12321478577429291,0.24619516562220234,0.6539662997688381,0.09652150105714825
manual_20260505_160725,mixed,dtw,in_domain,123,,0.5145135566188198,0.07988980716253444,0.8729096989966555,0.14638250140213124,0.29240421241317505,0.852186907847237,0.6305302352326341
manual_20260506_154802,mixed,dtw,in_domain,256,,0.539872408293461,0.08290322580645161,0.8595317725752508,0.1512209473374522,0.2991154562383612,0.8668575931943076,0.7398856081388028
manual_20260505_115357,mixed,dtw,in_domain,512,,0.5186602870813397,0.07949273120940303,0.8595317725752508,0.14552661381653453,0.2901332129148792,0.8529632353476586,0.653146381657612
14899277,mixed,dtw,in_domain,777,,0.5140350877192983,0.07461300309597524,0.8060200668896321,0.1365826013034854,0.2722548576592861,0.7454004275962581,0.19911521891622758
