job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
14961344,mixed,dtw,in_domain,0,0.1,0.9824561403508771,0.9315068493150684,0.6822742474916388,0.7876447876447876,0.7208480565371025,0.8402893808368094,0.7275468162631172
14961344,mixed,dtw,in_domain,0,0.5,0.9696969696969697,0.6798679867986799,0.6889632107023411,0.6843853820598007,0.6871247498332221,0.8392055469888184,0.7192457532111991
14961344,mixed,dtw,in_domain,1,0.1,0.9827751196172249,0.9483568075117371,0.6755852842809364,0.7890625,0.7168204400283891,0.8292970091226883,0.727413228511693
14961344,mixed,dtw,in_domain,1,0.5,0.9727272727272728,0.7269503546099291,0.68561872909699,0.7056798623063684,0.6935047361299052,0.8505821616071885,0.7294135855946365
14961344,mixed,dtw,in_domain,3,0.1,0.9830940988835726,0.957345971563981,0.6755852842809364,0.792156862745098,0.7178393745557926,0.8402288877848285,0.727106895470169
14962603,mixed,dtw,in_domain,3,0.5,0.9738437001594896,0.7454545454545455,0.68561872909699,0.7142857142857143,0.6968048946295037,0.8531329519657161,0.7286614729241322
14962603,mixed,dtw,in_domain,7,0.1,0.9822966507177033,0.9311926605504587,0.6789297658862876,0.7852998065764023,0.7178217821782178,0.8453747180491664,0.7281823242499182
14961356,mixed,dtw,in_domain,7,0.5,0.9708133971291866,0.6972789115646258,0.68561872909699,0.6913996627318718,0.6879194630872484,0.8463050787837983,0.7259621237655528
14961356,mixed,dtw,in_domain,13,0.1,0.9799043062200957,0.8559670781893004,0.6956521739130435,0.7675276752767528,0.7227241139680333,0.842020154268485,0.7339179284680051
14961356,mixed,dtw,in_domain,13,0.5,0.966347687400319,0.6375,0.6822742474916388,0.6591276252019386,0.6728232189973615,0.8343224134039161,0.7220012126502388
14961356,mixed,dtw,in_domain,42,0.1,0.981658692185008,0.9181818181818182,0.6755852842809364,0.7784200385356455,0.713276836158192,0.839747183852388,0.7362842165909622
14961356,mixed,dtw,in_domain,42,0.5,0.9695374800637958,0.68,0.6822742474916388,0.6811352253756261,0.6818181818181819,0.8462636298407745,0.7255260355542433
