job_id,mode,distance,level,seed,accuracy,precision,recall,f1,f2,auc,auc_pr
14876506,mixed,dtw,in_domain,42,0.5298245614035088,0.07885532591414944,0.8294314381270903,0.1440185830429733,0.285648468094909,0.8348984976998637,0.7171225472255353
14876505,mixed,dtw,in_domain,123,0.5274322169059011,0.07848101265822785,0.8294314381270903,0.143394044521538,0.28466483011937554,0.8235546501513167,0.6447769400671
14880171,mixed,dtw,out_domain,42,0.5735413619372663,0.07929203539823008,0.9068825910931174,0.14583333333333334,0.2937319695777603,0.9132118438532969,0.7417618099473953
14880170,mixed,dtw,out_domain,123,0.8595806923451975,0.19961051606621227,0.8299595141700404,0.3218210361067504,0.5086848635235732,0.8973568360454134,0.5338590103555406
14880173,mixed,mmd,in_domain,42,0.5404624277456648,0.08183893055102706,0.8451178451178452,0.1492271105826397,0.29494712103407755,0.8527278063612577,0.743328450764333
14880172,mixed,mmd,in_domain,123,0.5382145150931278,0.08065040650406505,0.835016835016835,0.14709371293001186,0.29087497067792645,0.8415180865020688,0.6550905207641177
14880175,mixed,mmd,out_domain,42,0.5633575464083939,0.07625948930296757,0.8875502008032129,0.14045122338735302,0.2837699024139702,0.8934223270478484,0.711525115098741
14880174,mixed,mmd,out_domain,123,0.8498789346246973,0.18266542404473438,0.7871485943775101,0.29652042360060515,0.47365877235379406,0.8713049304517092,0.5199681189529376
14880177,mixed,wasserstein,in_domain,42,0.5260199164792805,0.07626310772163966,0.8450704225352113,0.13990090352666862,0.28017744571562,0.8417018858353758,0.7193404928701165
14880176,mixed,wasserstein,in_domain,123,0.5199164792804368,0.07508639648130694,0.8415492957746479,0.1378713585232189,0.2766844176892799,0.8327968484078485,0.6411007362592626
14880179,mixed,wasserstein,out_domain,42,0.5781829917702114,0.08268275372604685,0.8893129770992366,0.1512987012987013,0.30134505949301604,0.8989581792574777,0.7327504917752582
14880178,mixed,wasserstein,out_domain,123,0.861223172502824,0.20743639921722112,0.8091603053435115,0.3302180685358255,0.5120772946859903,0.8825192768992327,0.5281805534912887
14880181,source_only,dtw,in_domain,42,0.9523125996810208,0.0,0.0,0.0,0.0,0.5461284726792652,0.10500350634247568
14880180,source_only,dtw,in_domain,123,0.9523125996810208,0.0,0.0,0.0,0.0,0.5416609487663058,0.12344764035875408
14880183,source_only,dtw,out_domain,42,0.959856980334796,0.0,0.0,0.0,0.0,0.5654552907836812,0.09966585350169124
14880182,source_only,dtw,out_domain,123,0.959856980334796,0.0,0.0,0.0,0.0,0.556174945948058,0.1474736107320026
14880185,source_only,mmd,in_domain,42,0.9523121387283237,0.0,0.0,0.0,0.0,0.569589561665097,0.20851761081716386
14880184,source_only,mmd,in_domain,123,0.9523121387283237,0.0,0.0,0.0,0.0,0.586894630563489,0.2138253513459309
14880187,source_only,mmd,out_domain,42,0.7102502017756255,0.06863839285714286,0.4939759036144578,0.12052915237628613,0.22058823529411767,0.6342281335229921,0.11492907553426118
14880186,source_only,mmd,out_domain,123,0.5049233252623083,0.05298223350253807,0.6706827309236948,0.09820640987944722,0.20130183220829312,0.638050351422508,0.10544119903863017
14880189,source_only,wasserstein,in_domain,42,0.954384837777064,0.0,0.0,0.0,0.0,0.585206882493209,0.1697148489269809
14880188,source_only,wasserstein,in_domain,123,0.954384837777064,0.0,0.0,0.0,0.0,0.5811032468794591,0.1613941054685312
14880191,source_only,wasserstein,out_domain,42,0.9577214781345812,0.0,0.0,0.0,0.0,0.6176868364019885,0.09628008357007622
14880190,source_only,wasserstein,out_domain,123,0.5225108923672744,0.05243942914039164,0.6030534351145038,0.09648854961832061,0.19453336616596897,0.608182794523367,0.13996596664990402
14880193,target_only,dtw,in_domain,42,0.9523125996810208,0.0,0.0,0.0,0.0,0.8868695909829504,0.7264242969197734
14880192,target_only,dtw,in_domain,123,0.5046251993620414,0.07482581036049682,0.8260869565217391,0.13722222222222222,0.2746275294640872,0.751295699560137,0.18382178502850816
14880195,target_only,dtw,out_domain,42,0.959856980334796,0.0,0.0,0.0,0.0,0.8631947748189928,0.7238733183408037
14880194,target_only,dtw,out_domain,123,0.959856980334796,0.0,0.0,0.0,0.0,0.8517736029098247,0.725701327179738
14880197,target_only,mmd,in_domain,42,0.5639049454078355,0.08507718696397942,0.835016835016835,0.15442092154420922,0.30221788934925664,0.8066241008409277,0.30103739728687384
14880196,target_only,mmd,in_domain,123,0.5542710340398201,0.08669556518839613,0.8754208754208754,0.15776699029126215,0.310484834010031,0.8678052372201758,0.5907881945768526
14880199,target_only,mmd,out_domain,42,0.7946731234866828,0.12907904278462654,0.714859437751004,0.21867321867321868,0.3747368421052631,0.809072144616137,0.41863911346108185
14880198,target_only,mmd,out_domain,123,0.5233252623083131,0.064993564993565,0.8112449799196787,0.12034554661900507,0.24610136452241718,0.8107195009435657,0.47246782058082615
14880201,target_only,wasserstein,in_domain,42,0.4857051076132348,0.0716382853787434,0.8591549295774648,0.13224932249322494,0.26860413914575076,0.7642385785598818,0.19247417452254195
14880200,target_only,wasserstein,in_domain,123,0.5149373594603277,0.07594544327340359,0.8626760563380281,0.1396011396011396,0.2808344795965153,0.7831555980108181,0.2421287592016558
14880203,target_only,wasserstein,out_domain,42,0.5649507826367597,0.07387955182072829,0.8053435114503816,0.13534316869788326,0.2702356557377049,0.8307337119044099,0.692702603914319
14880202,target_only,wasserstein,out_domain,123,0.8444408584799097,0.17679558011049723,0.732824427480916,0.28486646884273,0.4498594189315839,0.822640308173148,0.5231092572375445
