job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
14673167,source_only,dtw,in_domain,42,0_5,0.8121974830590513,0.14285714285714285,0.7076023391812866,0.23772102161100198,0.39516655780535603,0.8501279285903052,0.36461260308844834
14673175,source_only,dtw,in_domain,123,0_5,0.9106969990319458,0.2962962962962963,0.8421052631578947,0.4383561643835616,0.6153846153846154,0.9379077585405068,0.7250324317290598
14673183,target_only,dtw,in_domain,42,0_5,0.8121974830590513,0.14285714285714285,0.7076023391812866,0.23772102161100198,0.39516655780535603,0.8501279285903052,0.36461260308844834
14673191,target_only,dtw,in_domain,123,0_5,0.9106969990319458,0.2962962962962963,0.8421052631578947,0.4383561643835616,0.6153846153846154,0.9379077585405068,0.7250324317290598
14673482,source_only,dtw,out_domain,42,0_5,0.7872696817420436,0.06318347509113001,0.3058823529411765,0.10473313192346426,0.17298735861610112,0.5657080392645958,0.05897938526410126
14673490,source_only,dtw,out_domain,123,0_5,0.8600143575017947,0.0841683366733467,0.24705882352941178,0.12556053811659193,0.17811704834605602,0.5762020747435915,0.06382938549286407
14673498,target_only,dtw,out_domain,42,0_5,0.7784158889686528,0.11585365853658537,0.6705882352941176,0.1975736568457539,0.34254807692307687,0.8142238786260326,0.2208665825210373
14673506,target_only,dtw,out_domain,123,0_5,0.8858578607322326,0.24373956594323873,0.8588235294117647,0.37971391417425226,0.5707584050039093,0.9256599122562469,0.618190972602925
14673514,source_only,mmd,in_domain,42,0_5,0.7459538989700834,0.11786038077969176,0.6735751295336787,0.2006172839506173,0.34666666666666673,0.7965537706470349,0.2568853561209584
14673530,target_only,mmd,in_domain,42,0_5,0.7459538989700834,0.11786038077969176,0.6735751295336787,0.2006172839506173,0.34666666666666673,0.7965537706470349,0.2568853561209584
14674114,target_only,mmd,in_domain,123,0_5,0.5291809710642472,0.04239533651298357,0.41450777202072536,0.07692307692307693,0.15043249341857842,0.5282666826708278,0.05074675921582935
14674900,target_only,mmd,out_domain,123,0_5,0.780407004259347,0.11190965092402463,0.6337209302325582,0.19022687609075042,0.32791817087845965,0.7766030678858664,0.3419810328756468
14674902,target_only,wasserstein,in_domain,123,0_5,0.8141399416909622,0.1607981220657277,0.732620320855615,0.26371511068334935,0.42812500000000003,0.863432885590896,0.4025065650139427
14674905,source_only,wasserstein,out_domain,123,0_5,0.8625863300785901,0.0613107822410148,0.17901234567901234,0.09133858267716535,0.1293487957181088,0.5481931026890156,0.051168518434361966
14674906,target_only,wasserstein,out_domain,123,0_5,0.7170754941652775,0.09542586750788644,0.7469135802469136,0.16923076923076924,0.3157620041753653,0.7876922418248485,0.11024505177109446
14675040,source_only,wasserstein,in_domain,123,0_5,0.8141399416909622,0.1607981220657277,0.732620320855615,0.26371511068334935,0.42812500000000003,0.863432885590896,0.4025065650139427
14675147,source_only,mmd,out_domain,123,0_5,0.7908187411263606,0.049367088607594936,0.22674418604651161,0.08108108108108109,0.13193504736129905,0.5283985957022063,0.04915180656241342
14675335,target_only,mmd,out_domain,42,0_5,0.7714150496923805,0.10220440881763528,0.5930232558139535,0.17435897435897435,0.302491103202847,0.7784358830210759,0.3412621138533068
14675405,source_only,mmd,in_domain,123,0_5,0.8528690534575772,0.21853388658367912,0.8186528497409327,0.34497816593886466,0.5284280936454849,0.9135841985582919,0.6222543787370859
14675426,source_only,mmd,out_domain,42,0_5,0.7219592995740653,0.04367606915377616,0.27906976744186046,0.07553107789142408,0.13430330162283158,0.5186422253071901,0.044033509633690696
14676186,source_only,wasserstein,in_domain,42,0_5,0.9067055393586005,0.31166347992351817,0.8716577540106952,0.4591549295774648,0.6412273800157358,0.938251558750713,0.7199175394498514
14676318,target_only,wasserstein,in_domain,42,0_5,0.9067055393586005,0.31166347992351817,0.8716577540106952,0.4591549295774648,0.6412273800157358,0.938251558750713,0.7199175394498514
14676553,source_only,wasserstein,out_domain,42,0_5,0.8964039056918314,0.04950495049504951,0.09259259259259259,0.06451612903225806,0.07886435331230282,0.517568968522647,0.043683872781468965
14676785,target_only,wasserstein,out_domain,42,0_5,0.7018337699452251,0.08333333333333333,0.6728395061728395,0.14829931972789115,0.27862985685071573,0.7619305375890297,0.11770544081997243
