job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
14673172,source_only,dtw,in_domain,42,0_5,0.6379477250726041,0.040887040887040885,0.34502923976608185,0.07311028500619579,0.1386929948283968,0.5080204508578524,0.05598930488001279
14673180,source_only,dtw,in_domain,123,0_5,0.7018393030009681,0.04774083546462063,0.32748538011695905,0.08333333333333333,0.1507808292945611,0.5047945539182467,0.05318164527811134
14673188,target_only,dtw,in_domain,42,0_5,0.6001936108422071,0.033983637507866586,0.3157894736842105,0.06136363636363636,0.11878574571051473,0.5916457389370928,0.0993311368365016
14673196,target_only,dtw,in_domain,123,0_5,0.5769603097773476,0.06170094496942746,0.6491228070175439,0.11269035532994924,0.22351993556182037,0.6328043452905595,0.06666530730241113
14673487,source_only,dtw,out_domain,42,0_5,0.6688202919358698,0.04970326409495549,0.3941176470588235,0.08827404479578392,0.16518737672583825,0.5716681584082873,0.06125724996278391
14673495,source_only,dtw,out_domain,123,0_5,0.6745632926537449,0.049924357034795766,0.38823529411764707,0.08847184986595175,0.16483516483516483,0.5622657843381803,0.06782843654191381
14673503,target_only,dtw,out_domain,42,0_5,0.5805216558985403,0.05155807365439093,0.5352941176470588,0.09405684754521963,0.18609406952965235,0.5810954763546726,0.057920713831280515
14673511,target_only,dtw,out_domain,123,0_5,0.6066044508255564,0.05441354292623942,0.5294117647058824,0.09868421052631579,0.1928020565552699,0.5638856690094347,0.05355440889016786
14673527,source_only,mmd,in_domain,123,0_5,0.530407062285434,0.06116207951070336,0.6217616580310881,0.11136890951276102,0.2194586686174104,0.5915711418302092,0.0686424233033352
14673535,target_only,mmd,in_domain,42,0_5,0.7030407062285434,0.049557522123893805,0.29015544041450775,0.08465608465608465,0.1472134595162986,0.5256126592914157,0.05485097720991553
14674372,source_only,mmd,in_domain,42,0_5,0.603727317312408,0.06747720364741641,0.5751295336787565,0.12078346028291621,0.22962350020686803,0.5980208187462073,0.0708145523904619
14674702,target_only,mmd,in_domain,123,0_5,0.7084355076017655,0.063922942206655,0.37823834196891193,0.10936329588014981,0.19070010449320793,0.5601656430671974,0.05929268339952886
14674929,target_only,mmd,out_domain,42,0_5,0.5870799810695694,0.06618863761720904,0.6976744186046512,0.12090680100755667,0.23990403838464613,0.7020485079335942,0.16073356442561332
14674935,target_only,wasserstein,out_domain,42,0_5,0.5420338175756132,0.013266998341625208,0.14814814814814814,0.0243531202435312,0.04884004884004883,0.744696434523864,0.1802420713183045
14675022,target_only,mmd,out_domain,123,0_5,0.6164221486038808,0.059574468085106386,0.5697674418604651,0.10787011557512383,0.21003000428632665,0.6044761992175399,0.0746322749554904
14675024,source_only,wasserstein,in_domain,123,0_5,0.5233236151603499,0.06558981889378365,0.7165775401069518,0.12017937219730941,0.24005732712289501,0.6802032874974651,0.15890543204606628
14675034,target_only,wasserstein,out_domain,123,0_5,0.5760895451297928,0.020734597156398103,0.21604938271604937,0.03783783783783784,0.07491438356164383,0.6586925873937681,0.1138722336403159
14675055,source_only,wasserstein,in_domain,42,0_5,0.576287657920311,0.059920859242509894,0.5668449197860963,0.1083844580777096,0.21056813667063967,0.6117625281908964,0.10603442896350886
14675056,target_only,wasserstein,in_domain,42,0_5,0.6902332361516035,0.059870550161812294,0.39572192513368987,0.10400562192550948,0.18649193548387097,0.5742899024530332,0.0665485328608359
14675339,source_only,mmd,out_domain,42,0_5,0.5328916232844297,0.045408678102926335,0.5232558139534884,0.08356545961002786,0.16853932584269662,0.5298484987551773,0.054942562419368325
14675377,target_only,wasserstein,in_domain,123,0_5,0.6953352769679301,0.03487358326068003,0.21390374331550802,0.05997001499250375,0.1055408970976253,0.5794741691766829,0.06782524048161298
14675398,source_only,wasserstein,out_domain,42,0_5,0.659919028340081,0.03997093023255814,0.3395061728395062,0.07152145643693109,0.13586956521739132,0.5305446227335419,0.08797413880249685
14675922,source_only,mmd,out_domain,123,0_5,0.4943208707998107,0.041530564629024734,0.5174418604651163,0.07688984881209503,0.15718827269516075,0.5237649292688243,0.04510636586847582
14677549,source_only,wasserstein,out_domain,123,0_5,0.6358656823053108,0.0409670920080591,0.3765432098765432,0.07389460932768019,0.14272344408048668,0.5454132606721163,0.0864062125106723
