job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
14673179,source_only,dtw,in_domain,123,0_1,0.5016940948693127,0.04789272030651341,0.5847953216374269,0.08853474988933156,0.18037518037518036,0.5798966827149503,0.062224340816274634
14673187,target_only,dtw,in_domain,42,0_1,0.5573572120038722,0.059042553191489364,0.6491228070175439,0.10823988298391028,0.21645865834633385,0.6442979872470033,0.07536989576581044
14673195,target_only,dtw,in_domain,123,0_1,0.5300096805421104,0.05747126436781609,0.672514619883041,0.10589318600368323,0.21415270018621974,0.6370164661000308,0.07709198426431618
14673486,source_only,dtw,out_domain,42,0_1,0.5226130653266332,0.04352176088044022,0.5117647058823529,0.08022130013831259,0.1623740201567749,0.5160007629891568,0.04113856970690768
14673494,source_only,dtw,out_domain,123,0_1,0.529791816223977,0.043721403152008134,0.5058823529411764,0.08048666354702855,0.16244805440120894,0.5207474359162473,0.041295110538423885
14673518,source_only,mmd,in_domain,42,0_1,0.5419323197645904,0.04705246078961601,0.45077720207253885,0.08521057786483839,0.1659671880961465,0.5358846633458032,0.06729583305295125
14673526,source_only,mmd,in_domain,123,0_1,0.4767042667974497,0.05664687071722248,0.6424870466321243,0.10411418975650713,0.2093887200270179,0.6046652129553685,0.07561391238373956
14673542,target_only,mmd,in_domain,123,0_1,0.49975478175576266,0.030980192991366177,0.3160621761658031,0.056429232192414434,0.11127325793506021,0.639327558498543,0.08788921355089141
14673713,source_only,dtw,in_domain,42,0_1,0.5191190706679574,0.045545545545545546,0.5321637426900585,0.08390963577685569,0.16964951528709918,0.5467312141331195,0.05636148141299595
14674114,target_only,dtw,out_domain,42,0_1,0.5367312754247427,0.05404040404040404,0.6294117647058823,0.09953488372093024,0.20112781954887216,0.6023505935175268,0.08122860178297274
14674276,target_only,dtw,out_domain,123,0_1,0.552045944005743,0.055381400208986416,0.6235294117647059,0.1017274472168906,0.20431765612952968,0.6231508517600106,0.08101644247704284
14675019,source_only,mmd,out_domain,123,0_1,0.5565546616185518,0.04247311827956989,0.45930232558139533,0.07775590551181102,0.15502354788069075,0.5300550131366092,0.04425136250588559
14675025,target_only,wasserstein,in_domain,123,0_1,0.5362001943634597,0.05709876543209876,0.5935828877005348,0.10417644298451431,0.20616641901931648,0.5972359651188272,0.07879544199086044
14675031,source_only,wasserstein,out_domain,123,0_1,0.6551559895213146,0.04005722460658083,0.345679012345679,0.07179487179487179,0.13685239491691104,0.5344253922818863,0.05490136022379266
14675033,target_only,wasserstein,out_domain,123,0_1,0.5020242914979757,0.049930004666355575,0.6604938271604939,0.0928416485900217,0.19168756718022212,0.6282901677997046,0.07439284261014474
14675143,source_only,mmd,out_domain,42,0_1,0.5683861807856129,0.04364640883977901,0.45930232558139533,0.07971745711402624,0.15812650120096075,0.5260652700175538,0.04769061372784209
14675202,target_only,mmd,in_domain,42,0_1,0.5716037273173125,0.07863340563991324,0.7512953367875648,0.14236622484045164,0.2771406727828747,0.7417368515814111,0.22761815507672528
14675350,target_only,mmd,out_domain,123,0_1,0.5773781353525793,0.060935799782372145,0.6511627906976745,0.11144278606965174,0.22169437846397466,0.6543135691421622,0.08158190094393039
14675361,source_only,wasserstein,in_domain,42,0_1,0.5189504373177842,0.06543868153174988,0.7219251336898396,0.12,0.24012806830309502,0.7150803772306026,0.31501225469789423
14675387,target_only,wasserstein,in_domain,42,0_1,0.5427599611273081,0.059282371294851796,0.6096256684491979,0.1080568720379147,0.21340321976787718,0.6054853325675118,0.0660086174171067
14675399,target_only,mmd,out_domain,42,0_1,0.5811642214860389,0.06002202643171806,0.6337209302325582,0.1096579476861167,0.2176517571884984,0.6443851034292861,0.07692665432713966
14676387,source_only,wasserstein,in_domain,123,0_1,0.5162779397473275,0.062135922330097085,0.6844919786096256,0.11392968402314196,0.22792022792022792,0.6735749391267185,0.1777409984659328
14677880,target_only,wasserstein,out_domain,42,0_1,0.5527506549178376,0.056818181818181816,0.6790123456790124,0.10486177311725453,0.21284829721362228,0.6544937721141172,0.10315859324781486
14677893,source_only,wasserstein,out_domain,42,0_1,0.6489640390569184,0.044444444444444446,0.3950617283950617,0.07990012484394507,0.15325670498084293,0.5299788683076603,0.06947142086446757
