CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
baseline	mixed	mmd	out_domain	NA	7	manual_20260504_092839	baseline_domain_knn_mmd_out_domain_mixed_split2_s7
baseline	mixed	mmd	out_domain	NA	999	manual_20260504_212350	baseline_domain_knn_mmd_out_domain_mixed_split2_s999
baseline	mixed	wasserstein	in_domain	NA	0	manual_20260506_060233	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s0
baseline	mixed	wasserstein	in_domain	NA	1	manual_20260506_120106	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s1
baseline	mixed	wasserstein	in_domain	NA	123	manual_20260506_073242	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s123
baseline	mixed	wasserstein	in_domain	NA	13	manual_20260506_070237	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s13
baseline	mixed	wasserstein	in_domain	NA	1337	manual_20260506_083251	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s1337
baseline	mixed	wasserstein	in_domain	NA	2024	manual_20260506_150128	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s2024
baseline	mixed	wasserstein	in_domain	NA	3	manual_20260506_063231	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s3
baseline	mixed	wasserstein	in_domain	NA	42	manual_20260506_073241	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s42
baseline	mixed	wasserstein	in_domain	NA	512	manual_20260506_080247	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s512
baseline	mixed	wasserstein	in_domain	NA	7	manual_20260506_124915	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s7
baseline	mixed	wasserstein	out_domain	NA	0	manual_20260506_061327	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s0
baseline	mixed	wasserstein	out_domain	NA	1	manual_20260505_202925	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s1
baseline	mixed	wasserstein	out_domain	NA	123	manual_20260505_213009	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s123
baseline	mixed	wasserstein	out_domain	NA	13	manual_20260505_210001	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s13
baseline	mixed	wasserstein	out_domain	NA	1337	manual_20260505_230029	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s1337
baseline	mixed	wasserstein	out_domain	NA	2024	manual_20260505_233035	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s2024
baseline	mixed	wasserstein	out_domain	NA	256	manual_20260506_030350	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s256
baseline	mixed	wasserstein	out_domain	NA	3	manual_20260505_202955	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s3
baseline	mixed	wasserstein	out_domain	NA	42	manual_20260505_210002	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s42
baseline	mixed	wasserstein	out_domain	NA	512	manual_20260505_220014	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s512
baseline	mixed	wasserstein	out_domain	NA	7	manual_20260506_021110	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s7
baseline	mixed	wasserstein	out_domain	NA	999	manual_20260505_223022	baseline_domain_knn_wasserstein_out_domain_mixed_split2_s999
baseline	source_only	dtw	in_domain	NA	0	manual_20260505_091515	baseline_domain_knn_dtw_in_domain_source_only_split2_s0
baseline	source_only	dtw	in_domain	NA	1	manual_20260505_035153	baseline_domain_knn_dtw_in_domain_source_only_split2_s1
baseline	source_only	dtw	in_domain	NA	123	manual_20260505_052216	baseline_domain_knn_dtw_in_domain_source_only_split2_s123
baseline	source_only	dtw	in_domain	NA	13	manual_20260505_045209	baseline_domain_knn_dtw_in_domain_source_only_split2_s13
baseline	source_only	dtw	in_domain	NA	1337	manual_20260505_062230	baseline_domain_knn_dtw_in_domain_source_only_split2_s1337
baseline	source_only	dtw	in_domain	NA	2024	manual_20260505_130644	baseline_domain_knn_dtw_in_domain_source_only_split2_s2024
baseline	source_only	dtw	in_domain	NA	256	manual_20260505_122032	baseline_domain_knn_dtw_in_domain_source_only_split2_s256
baseline	source_only	dtw	in_domain	NA	3	manual_20260505_105140	baseline_domain_knn_dtw_in_domain_source_only_split2_s3
baseline	source_only	dtw	in_domain	NA	42	manual_20260505_194213	baseline_domain_knn_dtw_in_domain_source_only_split2_s42
baseline	source_only	dtw	in_domain	NA	512	manual_20260505_055222	baseline_domain_knn_dtw_in_domain_source_only_split2_s512
baseline	source_only	dtw	in_domain	NA	7	manual_20260505_042201	baseline_domain_knn_dtw_in_domain_source_only_split2_s7
baseline	source_only	dtw	in_domain	NA	999	manual_20260505_062230	baseline_domain_knn_dtw_in_domain_source_only_split2_s999
baseline	source_only	dtw	out_domain	NA	0	manual_20260505_011746	baseline_domain_knn_dtw_out_domain_source_only_split2_s0
