CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
smote_plain	source_only	dtw	out_domain	0.1	42	manual_20260503_190318	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	dtw	out_domain	0.1	512	manual_20260504_192047	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	dtw	out_domain	0.1	7	manual_20260504_182031	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	dtw	out_domain	0.1	999	manual_20260504_195024	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	dtw	out_domain	0.5	0	manual_20260504_175024	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	dtw	out_domain	0.5	1	manual_20260506_154803	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s1
smote_plain	source_only	dtw	out_domain	0.5	123	manual_20260503_223748	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s123
smote_plain	source_only	dtw	out_domain	0.5	13	manual_20260505_023134	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	dtw	out_domain	0.5	1337	manual_20260505_034020	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	dtw	out_domain	0.5	2024	manual_20260504_202032	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s2024
smote_plain	source_only	dtw	out_domain	0.5	256	manual_20260504_192048	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	dtw	out_domain	0.5	3	manual_20260505_125240	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	dtw	out_domain	0.5	42	manual_20260503_202728	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	dtw	out_domain	0.5	512	manual_20260505_031113	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	dtw	out_domain	0.5	7	manual_20260505_022802	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s7
smote_plain	source_only	dtw	out_domain	0.5	999	manual_20260504_195025	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.5_s999
smote_plain	source_only	mmd	in_domain	0.1	0	manual_20260505_020628	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	mmd	in_domain	0.1	123	manual_20260503_182330	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	mmd	in_domain	0.1	13	manual_20260504_100300	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	mmd	in_domain	0.1	1337	manual_20260504_202503	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	mmd	in_domain	0.1	2024	manual_20260505_034852	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	mmd	in_domain	0.1	256	manual_20260504_100221	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	mmd	in_domain	0.1	3	manual_20260505_054622	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s3
smote_plain	source_only	mmd	in_domain	0.1	42	manual_20260503_172737	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	mmd	in_domain	0.1	512	manual_20260504_100304	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	mmd	in_domain	0.1	7	manual_20260504_100219	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	mmd	in_domain	0.1	999	manual_20260504_100304	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	mmd	in_domain	0.5	0	manual_20260504_194123	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	mmd	in_domain	0.5	123	manual_20260503_184601	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s123
smote_plain	source_only	mmd	in_domain	0.5	13	manual_20260504_100301	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	mmd	in_domain	0.5	1337	manual_20260504_101852	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	mmd	in_domain	0.5	2024	manual_20260505_152846	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s2024
smote_plain	source_only	mmd	in_domain	0.5	256	manual_20260504_100221	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	mmd	in_domain	0.5	3	manual_20260504_100219	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	mmd	in_domain	0.5	42	manual_20260503_174308	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	mmd	in_domain	0.5	512	manual_20260504_100304	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	mmd	in_domain	0.5	7	manual_20260504_100219	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s7
smote_plain	source_only	mmd	in_domain	0.5	999	manual_20260504_100304	smote_plain_knn_mmd_in_domain_source_only_split2_ratio0.5_s999
smote_plain	source_only	mmd	out_domain	0.1	0	manual_20260503_184746	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	mmd	out_domain	0.1	123	manual_20260503_135345	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	mmd	out_domain	0.1	13	manual_20260503_210833	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	mmd	out_domain	0.1	1337	manual_20260503_202958	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	mmd	out_domain	0.1	2024	manual_20260503_221845	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	mmd	out_domain	0.1	256	manual_20260503_174208	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	mmd	out_domain	0.1	3	manual_20260503_201026	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s3
smote_plain	source_only	mmd	out_domain	0.1	42	manual_20260503_135344	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	mmd	out_domain	0.1	512	manual_20260504_050529	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	mmd	out_domain	0.1	7	manual_20260503_205702	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	mmd	out_domain	0.1	999	manual_20260503_173107	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	mmd	out_domain	0.5	0	manual_20260503_192119	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	mmd	out_domain	0.5	123	manual_20260503_145551	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s123
smote_plain	source_only	mmd	out_domain	0.5	13	manual_20260503_215240	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	mmd	out_domain	0.5	1337	manual_20260503_223718	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	mmd	out_domain	0.5	2024	manual_20260503_230222	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s2024
smote_plain	source_only	mmd	out_domain	0.5	256	manual_20260503_215239	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	mmd	out_domain	0.5	3	manual_20260503_202528	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	mmd	out_domain	0.5	42	manual_20260503_135345	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	mmd	out_domain	0.5	512	manual_20260504_103958	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	mmd	out_domain	0.5	7	manual_20260504_031130	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s7
